117					
1	3	4	1	2	-6.5425237549
2	4	5	1	2	-1.577331329
3	5	6	1	2	-0.6395050099
4	6	7	1	2	-0.3167112345
5	7	8	1	2	-0.2023567668
6	8	9	1	2	-0.1276997869
7	4	5	2	3	-6.5683149014
8	5	6	2	3	-1.5615085554
9	6	7	2	3	-0.6206070293
10	7	8	2	3	-0.3118708928
11	8	9	2	3	-0.1865859551
12	9	10	2	3	-0.1264302177
13	5	6	3	4	-6.3747294949
14	6	7	3	4	-1.5676076533
15	7	8	3	4	-0.6396292601
16	8	9	3	4	-0.3172875211
17	9	10	3	4	-0.1957363483
18	10	11	3	4	-0.1262661449
19	6	7	4	5	-6.4659925293
20	7	8	4	5	-1.6262190118
21	8	9	4	5	-0.6310072797
22	9	10	4	5	-0.3117606034
23	10	11	4	5	-0.1896936592
24	11	12	4	5	-0.1284348369
25	7	8	5	6	-6.479721666
26	8	9	5	6	-1.5933525432
27	9	10	5	6	-0.6504522595
28	10	11	5	6	-0.3064732004
29	11	12	5	6	-0.1885678977
30	12	13	5	6	-0.1347306294
31	8	9	6	7	-6.5303128057
32	9	10	6	7	-1.6390872912
33	10	11	6	7	-0.6168445991
34	11	12	6	7	-0.3162588836
35	12	13	6	7	-0.1888518279
36	13	14	6	7	-0.1286412712
37	9	10	7	8	-6.4124951956
38	10	11	7	8	-1.5541978008
39	11	12	7	8	-0.6142378478
40	12	13	7	8	-0.3157001459
41	13	14	7	8	-0.1860693655
42	14	15	7	8	-0.1361294731
43	10	11	8	9	-6.5258242571
44	11	12	8	9	-1.5887236797
45	12	13	8	9	-0.6290866217
46	13	14	8	9	-0.3208497766
47	14	15	8	9	-0.2016162503
48	15	16	8	9	-0.1441100402
49	11	12	9	10	-6.4313590747
50	12	13	9	10	-1.5883893912
51	13	14	9	10	-0.6308641101
52	14	15	9	10	-0.3223389946
53	15	16	9	10	-0.2058205596
54	16	17	9	10	-0.1415959432
55	12	13	10	11	-6.7190510807
56	13	14	10	11	-1.5561910584
57	14	15	10	11	-0.6449725808
58	15	16	10	11	-0.342759776
59	16	17	10	11	-0.2120899416
60	17	18	10	11	-0.1521418734
61	13	14	11	12	-6.461526445
62	14	15	11	12	-1.5709386176
63	15	16	11	12	-0.6637264218
64	16	17	11	12	-0.3468712568
65	17	18	11	12	-0.2242657509
66	18	19	11	12	-0.153254778
67	14	15	12	13	-6.6626398492
68	15	16	12	13	-1.5781810141
69	16	17	12	13	-0.672883947
70	17	18	12	13	-0.362782181
71	18	19	12	13	-0.2287710892
72	19	20	12	13	-0.1628436127
73	15	16	13	14	-6.4494931364
74	16	17	13	14	-1.5916435285
75	17	18	13	14	-0.6664592384
76	18	19	13	14	-0.3774510668
77	19	20	13	14	-0.2337535353
78	20	21	13	14	-0.1691480848
79	16	17	14	15	-6.2206492063
80	17	18	14	15	-1.6072547928
81	18	19	14	15	-0.6697954658
82	19	20	14	15	-0.365704616
83	20	21	14	15	-0.2402337566
84	21	22	14	15	-0.1742645954
85	17	18	15	16	-6.5836433986
86	18	19	15	16	-1.5744433124
87	19	20	15	16	-0.6763027859
88	20	21	15	16	-0.3583653292
89	21	22	15	16	-0.2315336121
90	22	23	15	16	-0.1713800278
91	18	19	16	17	-6.3839279349
92	19	20	16	17	-1.5815136465
93	20	21	16	17	-0.6628651925
94	21	22	16	17	-0.3541913717
95	22	23	16	17	-0.2386832372
96	23	24	16	17	-0.1688428145
97	19	20	17	18	-6.2437367286
98	20	21	17	18	-1.607830595
99	21	22	17	18	-0.6788747835
100	22	23	17	18	-0.3729227987
101	23	24	17	18	-0.2326112589
102	24	25	17	18	-0.1643512412
103	20	21	18	19	-6.545291772
104	21	22	18	19	-1.6112568981
105	22	23	18	19	-0.6613317561
106	23	24	18	19	-0.3647518315
107	24	25	18	19	-0.2303757302
108	21	22	19	20	-6.3512707931
109	22	23	19	20	-1.5709903153
110	23	24	19	20	-0.6728749492
111	24	25	19	20	-0.3648776258
112	22	23	20	21	-6.3989941639
113	23	24	20	21	-1.6080443356
114	24	25	20	21	-0.650649298
115	23	24	21	22	-6.3082328238
116	24	25	21	22	-1.5855478227
117	24	25	22	23	-6.218025273

