117
    1          3     4          1     2
    2          4     5          1     2
    3          5     6          1     2
    4          6     7          1     2
    5          7     8          1     2
    6          8     9          1     2
   24          4     5          2     3
   25          5     6          2     3
   26          6     7          2     3
   27          7     8          2     3
   28          8     9          2     3
   29          9    10          2     3
   47          5     6          3     4
   48          6     7          3     4
   49          7     8          3     4
   50          8     9          3     4
   51          9    10          3     4
   52         10    11          3     4
   69          6     7          4     5
   70          7     8          4     5
   71          8     9          4     5
   72          9    10          4     5
   73         10    11          4     5
   74         11    12          4     5
   90          7     8          5     6
   91          8     9          5     6
   92          9    10          5     6
   93         10    11          5     6
   94         11    12          5     6
   95         12    13          5     6
  110          8     9          6     7
  111          9    10          6     7
  112         10    11          6     7
  113         11    12          6     7
  114         12    13          6     7
  115         13    14          6     7
  129          9    10          7     8
  130         10    11          7     8
  131         11    12          7     8
  132         12    13          7     8
  133         13    14          7     8
  134         14    15          7     8
  147         10    11          8     9
  148         11    12          8     9
  149         12    13          8     9
  150         13    14          8     9
  151         14    15          8     9
  152         15    16          8     9
  164         11    12          9    10
  165         12    13          9    10
  166         13    14          9    10
  167         14    15          9    10
  168         15    16          9    10
  169         16    17          9    10
  180         12    13         10    11
  181         13    14         10    11
  182         14    15         10    11
  183         15    16         10    11
  184         16    17         10    11
  185         17    18         10    11
  195         13    14         11    12
  196         14    15         11    12
  197         15    16         11    12
  198         16    17         11    12
  199         17    18         11    12
  200         18    19         11    12
  209         14    15         12    13
  210         15    16         12    13
  211         16    17         12    13
  212         17    18         12    13
  213         18    19         12    13
  214         19    20         12    13
  222         15    16         13    14
  223         16    17         13    14
  224         17    18         13    14
  225         18    19         13    14
  226         19    20         13    14
  227         20    21         13    14
  234         16    17         14    15
  235         17    18         14    15
  236         18    19         14    15
  237         19    20         14    15
  238         20    21         14    15
  239         21    22         14    15
  245         17    18         15    16
  246         18    19         15    16
  247         19    20         15    16
  248         20    21         15    16
  249         21    22         15    16
  250         22    23         15    16
  255         18    19         16    17
  256         19    20         16    17
  257         20    21         16    17
  258         21    22         16    17
  259         22    23         16    17
  260         23    24         16    17
  264         19    20         17    18
  265         20    21         17    18
  266         21    22         17    18
  267         22    23         17    18
  268         23    24         17    18
  269         24    25         17    18
  272         20    21         18    19
  273         21    22         18    19
  274         22    23         18    19
  275         23    24         18    19
  276         24    25         18    19
  279         21    22         19    20
  280         22    23         19    20
  281         23    24         19    20
  282         24    25         19    20
  285         22    23         20    21
  286         23    24         20    21
  287         24    25         20    21
  290         23    24         21    22
  291         24    25         21    22
  294         24    25         22    23
