6690
1	55	27	35	6	0.678520000000000
2	39	37	60	16	1.42994000000000
3	53	37	18	16	1.13786000000000
4	61	32	41	11	6.62563000000000
5	64	37	39	16	-1.96793000000000
6	18	37	49	16	-2.02978000000000
7	41	32	61	11	6.66728000000000
8	60	27	41	6	6.58965000000000
9	20	27	53	6	7.26492000000000
10	41	27	60	6	6.68158000000000
11	19	27	36	6	0.309210000000000
12	39	37	59	16	1.10808000000000
13	54	37	18	16	0.899170000000000
14	3	37	28	16	0.211220000000000
15	52	32	59	11	-0.236190000000000
16	22	32	28	11	-1.35666000000000
17	18	32	58	11	-0.340400000000000
18	49	32	59	11	-0.820760000000000
19	54	32	64	11	-0.799200000000000
20	25	37	32	16	-0.0739300000000000
21	58	37	63	16	-0.661580000000000
22	50	37	55	16	-0.757400000000000
23	38	37	59	16	0.435090000000000
24	54	37	17	16	0.432590000000000
25	10	27	15	6	-1.05430000000000
26	53	37	58	16	-1.00421000000000
27	55	37	60	16	-0.804380000000000
28	4	37	28	16	0.157980000000000
29	18	27	36	6	0.247480000000000
30	56	37	42	16	-0.988080000000000
31	36	27	31	6	-0.649250000000000
32	21	37	57	16	-1.37674000000000
33	17	27	37	6	0.278990000000000
34	41	32	60	11	5.51077000000000
35	6	37	26	16	0.250320000000000
36	5	37	27	16	0.289770000000000
37	50	32	59	11	-0.712740000000000
38	11	27	19	6	-0.619430000000000
39	40	27	32	6	-0.367610000000000
40	64	32	35	11	-1.60107000000000
41	60	32	40	11	3.37978000000000
42	19	32	53	11	3.77127000000000
43	60	32	41	11	5.36516000000000
44	39	37	61	16	1.62170000000000
45	6	37	27	16	0.172680000000000
46	61	27	41	6	7.79241000000000
47	20	27	52	6	7.63145000000000
48	41	27	61	6	7.76310000000000
49	21	27	36	6	0.369370000000000
50	52	27	20	6	7.62133000000000
51	51	32	59	11	-0.544810000000000
52	17	32	57	11	-0.373480000000000
53	54	37	59	16	-0.927990000000000
54	53	32	19	11	4.03906000000000
55	24	37	32	16	-0.374110000000000
56	11	37	3	16	-0.409710000000000
57	38	37	60	16	0.538200000000000
58	53	37	17	16	0.528780000000000
59	10	37	1	16	-0.237840000000000
60	50	27	34	6	-0.462200000000000
61	22	37	31	16	-0.246470000000000
62	54	32	40	11	-0.274970000000000
63	19	32	59	11	-0.345250000000000
64	14	32	50	11	-1.50554000000000
65	63	32	35	11	-1.49045000000000
66	17	27	36	6	0.187270000000000
67	12	27	64	6	-1.16831000000000
68	53	32	64	11	-0.979790000000000
69	49	32	60	11	-0.968760000000000
70	53	37	19	16	2.57982000000000
71	33	37	35	16	0.381880000000000
72	54	27	35	6	0.517140000000000
73	14	37	12	16	1.27659000000000
74	52	37	56	16	-0.317150000000000
75	21	27	35	6	0.206370000000000
76	27	37	33	16	-0.622660000000000
77	53	32	42	11	-0.340000000000000
78	21	32	60	11	-0.335350000000000
79	12	37	6	16	-0.697710000000000
80	53	27	35	6	0.369290000000000
81	56	37	41	16	-1.70593000000000
82	59	32	39	11	1.85484000000000
83	22	32	54	11	-0.299630000000000
84	59	32	1	11	-0.265000000000000
85	10	27	16	6	-1.32660000000000
86	14	32	51	11	-1.49529000000000
87	62	32	35	11	-1.45472000000000
88	37	27	31	6	-0.934070000000000
89	22	32	55	11	-0.380690000000000
90	58	32	1	11	-0.336050000000000
91	23	32	54	11	-0.302450000000000
92	59	32	2	11	-0.276810000000000
93	60	27	40	6	4.66587000000000
94	19	27	53	6	5.13049000000000
95	41	27	32	6	-0.409830000000000
96	40	27	60	6	4.73454000000000
97	53	27	19	6	5.22466000000000
98	61	32	40	11	4.01422000000000
99	58	37	40	16	-0.670760000000000
100	19	32	52	11	4.11465000000000
